NR;JW1;JW2;JW3;JW4;JW5;JW6;JW7;JW8;JW9;JW10;JW11;JW12;JW13;CM1;CM2;CM3;CM4;CM5;CM6;CM7;CM8;CM9;CM10;CM11;CM12;RWA1;RWA2;RWA3;RWA4;RWA5;RWA6;RWA7;RWA8;RWA9;RWA10;RWA11;RWA12;SDO1;SDO2;SDO3;SDO4;SDO5;SDO6;SDO7;SDO8;SDO9;SDO10;SDO11;SDO12;SDO13;SDO14;SDO15;SDO16;GASP1;GASP2;GASP3;GASP4;GASP5;GASP6;GASP7;GASP8;GASP9;GASP10;GASP11;GASP12;GASP13;GASP14;GASP15;GASP16;NI1;NI2;NI3;NI4;NI5;NI6;NI7;NI8;NI9;AS1;AS2;AS3;AS4;AS5;AS6;AS7;AS8;AS9;AS10;AS11;AS12;AS13;AS14;AS15;AS16;AS17;AS18;AC1;AC2;AC3;AC4;AC5;AC6;AC7;AC8;AC9;AC10;MA1;MA2;MA3;MA4;MA5;MA6;MA7;MA8;TU1;TU2;TU3;TU4;TU5;TU6;TU7;TU8;JU1;JU2;JU3;JU4;JU5;JU6;JU7;JU8;CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;TH1;TH2;TH3;TH4;TH5;TH6;TH7;TH8;TIPI1;TIPI2;TIPI3;TIPI4;TIPI5;TIPI6;TIPI7;TIPI8;TIPI9;TIPI10;GES;BIL;POL;MIG;REL1;REL2;Setting
81;3;3;3;1;2;2;3;4;4;4;3;4;4;5;4;7;4;5;3;3;4;5;3;3;4;7;3;6;3;7;2;7;3;7;3;6;3;7;2;1;1; ;1;1;1;5;4;6;6;4;7;6;7;7;7;7;3;6;7;4;5;6;7;6;2;7;6;7;6;2;1;1;4;1;3;1;1;1;6;1;1;1;1;4;1;1;4;7;6;2;3;1;2;1;2;1;7;1;2;1;1;4;1;1;4;7;5;4;3;6;4;5;5;2;4;4;4;4;5;4;4;5;4;4;4;4;5;4;4;5;4;4;4;4;4;4;4;4;19;19;19;19;18;20;19;19;5;3;6;6;6;3;5;3;2;3;2;5;3;1;2;3;1
82;1;1;1;2;3;2;4;5;3;5;5;5;5;4;2;3;4;5;3;2;2;6;2;3;3;3;1;6;2;7;2;7;3;5;2;2;1;4;1;1;1;1;1;1;1;4;6;6;6;4;6;7;7;6;6;7;1;2;7;3;2;7;6;7;1;7;7;7;7;1;1;1;1;2;1;5;2;1;7;1;1;1;1;6;1;1;1;7;5;1;5;1;1;1;1;3;7;1;3;1;1;5;1;1;1;7;6;4;3;6;5;5;5;4;1;1;6;1;6;1;1;7;1;1;6;1;6;1;1;7;3;1;5;1;6;1;1;7;16;16;16;25;16;25;25;25;2;2;7;7;7;6;4;4;3;6;2;5;3;1;1;2;1
83;0;4;1;5;4;2;4;3;4;2;0;2;4;7;7;7;7;6;6;7;1;7;7;7;5;6;5;7;4;7;1;6;1;6;6;7;1;7;2;6;1;2;4;1;1;6;5;5;7;7;7;7;7;7;2;7;1;6;1;3;4;6;5;6;2;4;2;7;5;1;1;1;6;1;2;5;1;1;7;1;5;2;1;5;5;2;3;1;7;5;1;4;6;5;3;7;6;1;6;6;1;6;7;1;2;4;6;7; ;3;2;7;7;1;3;6;7;3;2;4;4;5;7;7;6;3;2;3;3;3;6;3;3;3;3;2;2;3;6;13;31;0;0;6;13;19;7;5;7;4;7;1;6;1;7;1;2;5;4;4;3;1;1
84;2;2;0;3;4;2;0;1;2;2;2;2;3;6;5;5;2;1;2;5;3;5;4;5;5;6;4;7;6;1;2;7;2;4;2;3;3;4;1;4;1;6;1;1;5;1;5;5;7;3;6;7;6;4;6;7;1;2;7;1;1;6;7;4;6;7;7;4;7;3;6;2;6;2;2;2;1;1;1;2;3;3;4;4;2;3;1;4;2;4;4;2;2;2;2;3;1;2;3;3; ;3;2;2;2;2;4;6;3;7;2;7;7;2;1;2;2;1;3;7;7;2;2;2;1;2;3;1;4;2;2;1;1;2;3;1;1;2;0;0;19;19;6;0;0;0;5;3;7;4;4;2;6;1;4;1;2;5;3;4;3;1;1
85;2;2;3;0;4;3;4;4;4;5;5;5;5;5;5;3;4;5;4;2;3;5; ;4;4;2;3;5;6;1;1;6;4;6;3;2;1;5;1;1;1;1;1;1;1;3;5;7;7;7;7;7;6;4;7;2;1;7;6;4;2;6;6;6;1;6;4;4;3;1;1;2;4;3;3;5;4;2;6;1;1;1;1;6;1;1;4;7;5;1;6;1;1;4;1;3;4;1;5;3;5;5;2;1;5;7;3;2;4;4;3;3;3;3;1;1;6;1;5;1;1;5;1;1;7;1;7;1;1;7;3;4;5;2;1;1;1;5;13;16;13;22;22;19;31;9;6;4;6;2;7;3;7;5;5;4;2;5;3;1;2;2;1
86;0;0;1;2;1;3;2;4;5;5;4;4;5;6;5;6;6;5;4;3;2;6;2;6;6;5;2;7;1;7;4;7;3;7;4;7;2;7;1;1;1;2;2;3;1;3;4;6;4;4;5;4;6;6;7;7;3;3;7;3;5;6;5;4;1;7;7;6;5;1;1;1;6;2;3;6;2;1;5;4;2;2;2;4;2;1;4;7;6;2;2;2;2;2;6;5;5;4;5;4;4;4;5;2;4;7;7;5;2;6;2;6;6;2;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;25;13;3;13;4;19;16;16;6;5;6;4;5;3;6;4;3;3;1;5;3;2;6; ;1
87;1;0;0;2;3; ;3;4;3;4;4;4;4;5;3;7;5;4;7;5;2;6;6;6;4;6;1;7;2;7;2;7;4;6;2;4;1;7;1;1;1;6;1;1;1;2;5;6;4;6;7;6;7;4;7;2;1;7;6;4;1;7;6;6;2;7;6;6;6;1;1;1;2;4;2;2;2;1;5;2;1;1;1;5;1;2;4;7;6;1;4;1;1;1;4;2;4;1;2;4;2;5;4;2;4;7;5;3;4; ;2;6;6;4;4;4;6;4;5;4;4;5;4;4;6;4;5;4;4;5;4;4;6;4;5;4;4;5;22;19;18;25;15;22;22;24;5;4;6;2;5;2;6;2;3;2;1;5;3;1;1;3;1
88;0;0;2;2;2;2;3;2;3;3;3;2;3;5;4;6;5;4;4;3;5;5;6;5;6;5;3;7;3;6;3;6;5;7;3;3;3;5;4;2;2;4;3;4;1;5;5;6;6;6;5;7;7;6;5;7;4;5;7;4;2;6;6;5;2;4;6;5;7;1;1;1;2;1;2;1;1;1;5;1;2;2;3;5;4;2;2;6;6;3;5;2;2;3;3;5;6;3;4;3;5;6;4;3;2;5;6;4;2;6;3;5;6;5;3;2;5;3;5;1;1;6;2;1;5;2;3;4;2;4;6;5;4;5;3;3;5;6;22;28;19;22;2;22;18;35;5;2;3;4;5;4;5;3;5;2;2;5;2;1;6;1;1
89;0;0;1;1;4;2;3;4;4;4;4;4;3;5;4;4;3;1;2;2;6;2;5;4;2;1;5;7;5;7;5;7;5;6;6;5;5;5;3;2;1;1;1;1;1;3;7;7;7;6;7;7;7;7;7;7;2;7;7;2;2;7;7;6;4;7;7;7;7;1;1;1;1;2;1;1;1;1;7;1;1;1;1;7;1;1;7;7;6;4;2;2;2;4;1;4;7;1;1;1;1;3;1;1;7;7;3;5;2;4;3;5;5;7;3;1;6;2;5;4;1;4;4;4;7;2;7;1;1;6;4;2;6;1;5;1;1;7;19;25;13;28;7;19;31;31;6;2;7;7;7;5;6;2;5;1;1;5;3;1;1;3;1
90;2;1;1;3;4;2;5;4;3;3;4;4;5;7;4;6;6;2;4;6;1;6;7;5;7;7;7;7;2;4;1;6;7;7;4;5;2;6;4;2;4;2;2;2;2;4;5;5;5;6;7;5;7;4;5;6;1;7;6;5;2;7;6;6;2;4;6;4;5;3;6;5;5;2;4;4;4;3;3;4;5;3;4;4;6;3;3;4;7;4;5;4;4;5;5;6;4;7;7;4;5;4;5;3;4;2;5;6;3;4;6;2;5;4;6;2;5;4;2;3;3;4;6;6;4;4;3;3;5;3;2;3;4;3;4;4;3;4;25;13;13;3;13;19;13;13;4;4;7;5;6;5;7;4;4;1;2;5;4;4;3;1;1
91;0;2;2;5;3;4;4;4;4;5;4;4;5;7;4;6;7;5;5;5;4;7;7;7;5;5;4;7;4;7;2;7;5;6;4;1;5;7;4;1;1;6;1;5;1;6;6;7;4;4;7;4;7;7;2;5;2;1;4;6;5;6;3;2;1;7;6;7;2;6;4;2;3;7;5;3;4;5;2;1;1;1;1;5;1;1;3;7;3;6;1;6;6;6;7;6;7;1;1;1;1;4;1;1;2;7;7;4;5;3;4;3;2;5;3;5;7;3;1;2;2;3;6;1;5;4;4;1;1;7;7;5;6;2;5;5;1;4;6;19;31;13;25;13;13;19;5;5;7;3;6;4;3;1;6;3;2;5;4;1;1;3;1
92;1;3;2;1;4;2;4;4;4;4;4;4;4;6;3;5;4;6;3;2;5;4;3;6;5;1;3;5;3;7;1;1;2;5;4;2;2;4;5;2;2;3;5;5;1;5;4;5;5;2;3;5;6;3;5;3;2;6;6;5;2;6;4;6;1;6;5;6;6;5;2;5;5;5;4;2;2;1;7;4;2;2;4;5;4;4;1;4;5;4;6;4;6;5;4;6;7;6;6;4;7;6;6;6;1;4;7;6;1;7;6;7;5;2;3;3;2;3;1;1;3;1;4;6;4;6;6;4;4;2;6;6;6;6;6;6;4;6;3;1;0;9;9;9;6;2;6;2;4;5;7;1;7;2;3;2;2;5;5;1;1;4;1
93;2;1;0;0;2;2;3;2;3;3;3;3;3;7;7;7;7;4;7;6;1;7;5;7;6;4;7;7;4;4;2;7;3;7;5;4;2;3;1;6;4;1;7;1;4;3;7;7;7;7;7;7;7;1;6;6;4;7;7;6;1;6;7;5;1;7;7;6;6;1;5;1;7;4;1;7;2;1;2;1;1;1;1;4;1;1;7;7;6;4;1;3;2;1;1;4;2;1;1;1;1;3;3;1;7;7;7;4;4;5;7;1;3;5;5;5;4;4;4;3;4;1;6;6;4;4;4;4;4;4;4;4;5;4;4;4;4;5;31;3;28;0;16;19;19;19;3;6;7;6;7;6;7;6;2;1;2;5;5;4;3;3;1
94;1;1;2;0;2;3;4;4;4;4;4;4;4;6;2;6;3;6;5;2;3;4;4;5;3;5;2;7;1;7;4;7;2;6;1;1;1;7;1;1;1;4;1;1;1;5;7;7;3;5;5;7;5;6;4;5;2;2;6;5;1;5;6;6;1;6;6;4;6;1;1;2;1;1;1;2;1;1;7;5;1;1;2;7;1;1;1;7;6;2;7;1;1;1;6;1;6;5;3;3;6;6;2;1;1;7;7;7;3;5;3;6;6;4;1;1;6;2;6;2;2;6;1;1;6;1;6;2;2;6;1;1;6;1;6;2;3;5;25;20;2;26;4;25;25;20;6;2;3;3;7;5;7;3;4;1;2;6;2;1;6;1;1
95;0;0;0;0;0;0;4;4;4;4;4;4;4;7;7;7;6;3;6;5;1;6;5;5;6;7;2;7;1;6;1;7;1;6;1;7;1;6;1;1;1;1;1;1;1;4;6;7;7;6;7;7;7;6;7;5;4;3;7;4;4;5;2;5;2;6;7;5;4;1;1;1;1;1;1;7;1;1;4;1;1;1;1;4;4;1;2;7;3;1;6;1;1;1;1;2;2;1;3;1;1;4;2;1;1;7;7;4;4;5;4;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;25;6;16;16;16;16;16;16;6;4;6;6;7;4;6;2;5;4;2;5;2;2;6;1;1
96;3;1;1;2;3;2;3;4;4;4;4;4;5;6;4;6;5;4;3;3;4;6;6;4;4;7;4;7;1;6;4;7;4;7;3;4;4;6;2;2;1;2;2;2;1;4;5;6;5;5;6;6;6;7;6;7;3;4;7;4;2;6;5;6;2;5;6;6;7;4;1;2;2;2;3;6;2;3;6;1;1;1;1;6;2;2;1;4;4;4;3;3;3;3;4;4;4;3;3;2;2;4;1;2;5;3;5;3;4;5;3;4;4;3;3;3;4;3;3;3;3;3;3;4;6;4;6;3;3;5;2;3;4;3;4;3;3;4;18;24;16;19;18;13;16;6;5;4;5;5;6;4;6;2;5;2;2;5;3;2;1;1;1
97;1;1;1;2;3;2;3;4;4;4;4;4;4;5;4;5;3;3;6;3;2;4;4;3;5;3;2;7;5;7;2;5;1;6;1;4;2;6;2;1;1;2;1;2;1;3;5;7;6;6;7;7;6;6;5;5;2;7;5;1;2;6;5;6;2;7;3;6;6;1;1;3;1;2;2;6;3;1;5;1;1;2;3;4;1;1;4;7;5;3;4;2;3;1;2;3;4;3;3;3;5;4;2;2;3;7;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;21;19;20;16;16;19;19;18;5;3;6;4;6;4;5;2;3;3;2;5;3;2;1;1;1
98;2;2;1;1;2;1;2;3;3;4;3;4;2;5;4;6;5;3;4;5;5;5;5;6;6;6;5;7;4;2;4;6;6;2;4;3;3;5;2;2;1;1;2;6;1;2;4;6;3;5;5;4;5;5;3;6;2;5;1;5;3;6;5;4;3;6;5;6;4;4;4;5;5;5;5;4;5;5;6;1;1;1;2;4;4;2;5;6;5;2;5;3;2;2;5;5;5;3;4;4;2;5;4;2;2;5;5;3;5;4;5;2;2;5;4;3;5;4;5;5;5;4;4;3;5;4;5;3;2;5;4;3;5;4;5;2;4;5;19;22;13;28;16;13;19;22;5;4;5;3;7;3;6;4;7;3;2;5;3;1;1;1;1
99;0;0;1;0;0;0;4;4;4;4;4;4;3;6;5;5;4;3;3;2;5;6;5;3;4;6;3;7;2;2;4;7;4;7;1;4;1;6;2;4;1;2;3;1;1;5;4;5;5;4;6;7;6;6;7;6;2;4;7;5;1;4;3;4;1;5;6;4;2;3;1;2;2;4;3;3;4;2;3;3;3;2;2;4;2;1;2;7;6;1;1;2;2;3;7;4;4;1;4;1;4;4;2;2;1;6;5;2;4;5;4;6;5;3;2;2;5;2;5;2;1;2;2;2;5;2;5;2;2;5;2;2;5;2;5;2;2;5;9;16;16;16;13;19;19;19;4;3;7;3;6;3;6;2;5;1;2;5;4;1;1;3;1
100;2;1;2;3;4;2;1;2;3;3;3;3;2;5;5;3;4;6;5;4;2;6;5;4;4;5;2;6;3;6;2;7;3;6;5;5;2;6;2;1;1;2;1;1;1;3;5;6;6;6;6;6;7;4;5;3;5;6;6;4;2;7;4;6;3;7;5;7;6;1;1;1;1;2;2;2;1;1;7;1;1;1;1;6;2;1;1;6;6;3;3;3;4;2;4;3;7;2;1;1;2;6;2;1;1;6;6;5;4;7;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;14;16;19;19;19;23;23;23;4;1;4;5;5;3;6;5;2;4;2;5;3;1;1;2;1
101;1;2;1;2;4;1;4;4;3;4;4;4;3;6;5;7;7;4;5;5;2;6;7;6;6;4;4;6;3;6;3;4;5;6;3;3;4;5;2;1;1;5;3;3;1;3;4;6;6;4;5;6;6;6;7;7;4;5;7;3;5;7;6;5;1;4;5;7;6;4;1;5;5;2;2;1;1;1;1;1;3;2;1;5;4;2;4;7;5;1;5;1;1;1;1;6;4;1;6;6;6;6;4;3;4;7;6;6;3;5;5;3;1;4;4;5;6;4;4;4;4;5;4;4;5;4;5;4;4;4;4;6;6;4;4;3;4;4;16;19;6;22;16;19;19;19;6;2;7;6;7;3;6;5;4;2;2;5;4;1;6;3;1
102;3;2;2;2;3;2;4;2;3;2;3;2;2;7;6;5;6;5;4;3;1;5;5;5;5;6;4;7;3;3;4;3;4;6;4;5;3;6;2;4;1;4;4;1;1;4;3;7;5;5;4;7;6;6;7;7;5;3;7;5;5;7;6;5;1;7;5;6;6;4;3;3;3;4;3;2;4;3;2;1;1;1;2;4;1;1;2;7;4;1;3;1;1;2;3;4;3;1;2;1;2;3;2;1;4;4;4;4;2;6;2;6;7;2;2;2;7;4;5;2;4;6;4;4;4;4;4;4;4;4;4;4;6;4;4;4;5;4;25;6;25;25;3;25;25;25;6;2;6;3;5;4;5;1;6;3;2;5;4;1;1;3;1
103;2;0;1;2;1;0;0;2;2;3;3;4;3;5;4;5;5;4;3;3;3;1;2;2;3;7;2;3;2;1;2;7;2;3;2;3;1;4;1;1;1;1;2;2;1;2;5;6;7;6;7;7;6;6;7;7;2;6;7;3;1;6;7;6;2;3;7;7;7;1;1;1;1;1;1;7;4;1;2;1;1;1;1;4;1;1;6;7;4;4;1;3;1;3;3;5;5;1;4;3;1;3;3;3;5;7;7;1;6;7;4;5;3;5;2;2;5;5;2;4;3;2;4;5;4;5;6;4;4;4;5;5;4;4;4;4;4;4;3;2;13;6;19;22;18;9;2;5;6;5;3;7;3;4;5;5;2;5;2;1;6; ;1
104;2;1;2;1;0;0;2;4;3;3;3;3;2;7;4;4;2;3;2;2;1;6;3;5;3;3;2;7;3;7;1;6;3;6;2;1;1;6;1;1;1;2;2;2;1;5;5;6;1;1;1;1;1;6;6;5;1;6;4;3;4;7;6;4;1;6;5;7;5;1;1;1;1;1;1;1;3;2;4;1;2;1;1;4;4;1;4;7;4;2;1;2;1;1;1;3;4;1;5;1;1;4;4;1;4;7;6;3;3;4;3;5;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;9;9;9;6;13;13;13;5;5;7;3;6;5;6;1;2;1;1;5;3;1;2;2;1
105;0;0;0;2;1;1;4;5;4;5;4;5;5;6;5;6;7;1;5;6;1;6;6;6;6;6;6;7;4;7;1;7;1;7;1;6;1;7;1;1;1;1;1;1;1;4;5;7;6;7;7;6;7;3;7;7;1;7;7;4;5;7;6;5;1;4;2;7;6;1;1;1;4;2;1;6;1;1;7;1;1;1;1;4;4;1;1;7;7;1;5;1;1;1;5;4;4;1;5;1;1;4;4;1;4;7;4;1;5;7;4;5;3;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;0;6;19;25;16;19;16;7;5;5;5;7;2;7;3;5;1;2;5;4;2;6;3;1
106;1;1;1;0;0;0;4;4;4;4;4;4;4;7;6;6;6;3;2;4;2;6;3;5;5;7;3;6;2;3;1;6;1;6;4;5;2;6;2;2;1;2;1;2;1;5;5;6;6;5;4;6;6;6;6;5;2;5;6;1;2;7;5;5;2;6;5;3;4;2;1;1;1;1;2;6;3;1;5;1;2;1;1;4;2;2;1;6;6;2;7;2;2;4;3;5;5;2;2;2;2;4;2;2;1;6;6;4;3;5;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;25;15;13;6;9;13;15;15;5;6;5;5;6;6;6;5;4;2;2;5;2;1;1;1;1
107;1;5;1;5;1;5;5;5;5;5;4;5;4;7;5;7;5;5;5;6;1;6;7;5;7;5;2;7;5;7;1;7;5;7;4;7;6;7;1;1;1; ;1;1;1;2;7;7;2;6;7;7;7;7;7;7;1;7;7;6;1;7;7;7;3;7;2;7;6;1;1;1;1;1;1;3;1;1;7;5;2;2;1;1;2;1;1;7;7;5;1;5;5;7;7;6;7;7;5;7;1;1;5;1;1;7;7;6;2;6;2;6;7;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;31;31;31;31;31;31;31;31;5;5;6;4;6;2;7;6;6;3;1;5;3;1;1;4;1
108;0;0;1;1;0;0;3;2;2;2;1;2;2;7;6;7;7;6;6;5;1;7;6;5;7;6;4;6;2;7;3;7;2;6;1;7;1;6;5;3;3;7;6;3;1;5;7;7;5;5;6;7;6;5;4;3;1;1;5;6;7;4;5;7;4;6;5;5;4;6;5;5;5;3;2;4;5;4;7;1;1;1;1;5;1;1;5;6;2;1;1;1;1;3;2;3;7;1;2;2;1;6;6;2;1;6;6;5;3;7;6;7;5;1;5;4;2;5;4;5;6;3;4;3;5;4;4;4;4;4;4;5;5;6;6;7;5;5;2;0;13;3;3;3;13;13;5;6;7;7;7;4;3;5;4;2;1;5;4;1;6;1;1
109;1;2;2;2;3;1;3;4;4;5;4;4;4;6;5;6;7;5;5;5;3;7;4;5;5;5;2;7;2;6;1;7;4;5;3;2;2;6;2;1;1;5;1;2;1;3;5;6;6;5;6;6;7;5;5;6;4;6;7;6;1;7;6;5;3;6;6;6;6;1;2;2;3;2;2;2;2;1;4;2;1;3;1;3;1;2;2;7;5;1;2;2;1;1;5;4;5;4;3;3;2;5;4;4;2;7;6;4;3;5;3;6;6;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;22;16;9;3;6;18;19;19;6;5; ;4;7;4;6;5;3;1;2;5;3;1;6;1;1
110;0;0;0;1;0;0;0;4;3;5;1;4;5;7;7;7;7;7;7;7;7;7;7;7;7;7;6;7;1;7;1;7;1;7;1;1;1;7;4;1;1;7;1;5;1;2;7;7;7;7;7;7;7;1;7;4;7;5;4;1;1;4;4;7;2;7;7;7;7;4;4;7;4;4;5;5;3;4;7;1;1;4;4;4;4;5;7;7;7;1;4;1;1;1;6;7;7;7;1;4;1;7;4; ;7;7;7;3;2;3;4;4;4;4;1;1;3;4;4;4;1;1;7;1;7;4;6;1;4;7;7;7;7;3;6;4;4;4;19;19;6;6;19;13;31;31;1;3;7;4;7;7;7;4;7;4;2;5;3;4;4;1;1
111;0;1;3;1;2;2;3;5;3;5;5;4;4;7;1;6;2;6;4;1;4;4;1;2;3;2;1;7;2;7;3;6;6;7;1;6;2;7;1;4;1;1;3;1;1;3;6;7;1;7;6;7;7;6;1;6;2;3;2;1;1;5;2;4;1;5;6;6;2;1;1;5;7;1;1;3;1;1;7;7;1;1;1;4;4;1;4;7;7;5;1;4;5;1;2;6;6;2;4;1;1;4;3;2;2;5;5;6;2;6;3;6;2;7;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;25;8;14;3;7;16;17;16;2;4;3;1;6;3;1;6;7;2;1;6;2;1;1;4;1
112;1;2;2;0;1;3;3;2;3;3;3;3;4;7;5;7;6;2;5;4;2;6;6;5;4;4;3;4;5;1;4;7;3;6;5;3;4;5;2;2;2;3;2;1;1;7;3;5;4;2;3;6;5;3;2;4;2;4;5;4;4;4;3;5;1;3;2;5;4;4;2;2;5;3;2;5;3;4;5;2;1;2;5;4;5;4;3;6;6;3;1;4;4;3;4;5;5;5;3;3;3;5;5;4;3;6;5;4;3;6;5;4;4;3;4;2;6;5;3;4;4;5;5;3;4;5;4;2;2;3;4;4;5;5;4;3;3;4;9;16;9;28;9;13;13;13;2;3;4;3;4;5;5;4;5;3;1;5;3;1;1;2;1
113;0;0;2;1;2;3;3;5;5;5;5;5;5;7;6;6;4;4;5;5;3;7;4;4;4;4;5;7;1;6;1;7;1;7;1;2;1;7;1;1;1;1;1;2;1;4;1;7;4;7;7;7;7;6;6;6;4;6;7;6;2;7;3;3;2;5;5;5;5;1;1;7;1;1;1;7;4;1;7;4;1;1;1;7;1;1;1;7;7;1;1;1;1;1;4;4;7;1;3;1;1;2;3;1;1;7;7;7;7;7;7;7;7;7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;22;13;16;6;19;22;25;25;4;4;4;2;7;4;7;1;7;1;2;6;2;4;7; ;1
114;1;2;2;1;2;3;3;3;3;4;3;2;3;5;5;5;6;4;4;4;3;6;5;5;3;6;5;7;2;4;6;6;4;5;5;4;4;6;3;3;3;4;5;4;3;4;4;4;5;2;4;4;4;7;6;7;1;5;6;4;4;7;6;6;2;5;6;7;6;2;2;2;3;5;2;4;4;3;3;4;2;2;3;4;3;2;4;5;4;5;4;5;5;4;4;5;3;4;4;4;4;5;4;4;5;6;5;6;3;6;4;4;4;3;4;3;5;4;4;5;5;3;4;6;4;3;3;4;4;4;4;3;6;4;3;4;4;3;6;16;16;19;9;13;13;19;3;4;2;4;6;4;5;3;4;4;1;5;4;1;2;1;1
115;1;1;2;0;2;0;4;4;4;4;5;5;5;7;1;4;2;6;1;1;2;5;3;2;1;6;4;6;1;5;2;7;2;5;2;5;1;7;1;1;1;1;1;2;1;5;7;7;2;4;4;4;4;7;7;6;1;2;2;2;1;4;2;6;1;6;6;6;3;1;1;1;1;1;1;1;1;1;5;6;2;2;5; ;1;1;3;7;6;1;1;1;1;4;4;4;6;6;2;1;1; ;1;1;5;7;5; ;2;5;2;6;6;1;2;2;5;3;3;1;1;4;2;2;4;2;6;2;2;5;2;2;5;2;4;2;2;5;8;16;10;3;4;16;16;16;4;5;6;3;6;6;6;1;6;3;2;5;2;1;1; ;1
116;0;1;3;2; ;3;4;4;3;5;2;4;4;7;4;5;3;7;3;1;3;5;3;4;5;4;6;7;2;7;6;5;3;7;2;2;4;7;3;1;1;2;1;3;1;7;4;5;5;3;5;6;4;5;6;7;2;4;7;2;1;7;5;6;3;7;3;6;6;4;3;3;4;5;2;3;2;4;3;1; ;2;4;4;3;3;2;3;4;5;1;5;5;4;3;7;2;3;5;4;3;4;2;3;3;5;5;7;3;6;5;6;6;4;4;2;3;2;5;6;5;6;4;6;3;6;4;5;3;5;5;6;5;4;4;4;4;5;6;9;13;16;13;12;16;16;5;3;3;7;5;6;7;5;5;2;2;5;5;1;2;2;1
117;1;2;2;0;3;2;3;4;3;4;4;4;4;7;6;6;4;5;7;6;3;6;5;5;6;2;5;5;5;3;3;7;4;7;4;5;4;5;2;4;3;4; ;2;2;6;6;6;7;6;7;7;7;7;5;7;7;2;6;3;1;7;7;3;1;7;5;2;5;3;2;4;3;3;2;3;4;1;6;1;1;1;1;6;1; ;4;7;6;2;5;2;2;6;3;2;6;1;1;1;1;4;1;1;4;7;6;6;3;6;4;4;6;3;6;3;5;6;2;3;6;3;4;3;6;3;6;3;3;5;3;5;3;3;4;3;3;4;13;31;25;19;16;6;25;25;4;5;7;5;7;1;7;3;4;3;2;5;3;1;2;3;1
118;1;1;2;3;2;2;3;3;3;3;3;3;4;4;3;3;4;5;2;2;3;4;5;4;2;5;2;6;4;2;4;5;3;5;5;3;3;3;1;1;1;3;1;5;1;4;5;5;5;4;4;5;5;6;7;6;3;7;7;5;1;7;5;6;2;7;7;7;7;3;3;4;4;5;2;3;3;2;4;5;2;2;2;5;3;3;3;5;4;5;4;5;5;5;5;5;4;3;3;3;3;4;2;2;4;5;6;6;4;6;4;5;5;4;5;5;4;3;4;5;3;4;5;4;5;3;4;4;3;5;5;3;4;5;5;4;4;5;13;19;22;16;16;9;13;16;5;4;5;4;5;4;6;3;3;3;2;5;5;1;1;2;1
119;2;3;2;3;2;4;3;4;4;4;3;4;4;6;6;6;5;4;4;4;3;4;3;4;3;4;5;5;4;2;5;6;4;4;4;3;3;2;3;4;2;3; ;4;5;4;6;6;6;5;5;5;5;3;6;7;4;4;3;3;2;6;2;6;2;3;6;6;3;6;4;2;5;6;4;6;4;3;4;5;4;4;6;5;4;4;4;5;4;5;2;5;5;5;5;5;5;6;7;7;7;5;5;6;4;3;6;6;5;5;5;6;4;5;5;4;4;4;4;4;5;3;4;4;4;4;4;5;5;3;5;4;3;6;3;6;6;4;16;13;19;16;13;9;9;4;6;4;3;5;6;4;5;5;4;4;2;5;3;1;3;3;1
120;3;2;2;3;3;2;4;4;4;5;4;4;5;6;5;5;6;2;5;5;3;6;5;5;5;4;4;6;2;2;2;4;5;2;2;2;2;5;3;1;1;1;2;1;1;3;6;6;6;6;5;6;6;4;6;6;2;6;6;2;1;4;6;6;2;6;7;6;4;4;3;2;6;1;2;1;2;2;4;1;1;2;1;6;2;2;1;4;6;2;1;2;2;3;1;5;6;1;4;2;1;6;2;1;1;4;5;6;2;4;5;5;6;3;3;4;6;4;3;5;4;4;5;6;5;4;5;4;6;4;4;6;5;4;6;4;6;5;6;6;0;13;0;19;6;6;5;3;5;2;7;4;6;2;5;2;2;6;4;4;3;2;1
