cidade	p2a	b9a	deam	knowdeam1	female	knowvictim	marital_status	children	classe	homiciderate	femiciderate	civilpolice	b11ar	c1r	b4gr	q91cr	q89er	color	q53r	q91er	edlevel	a3aer	b4dr	vaw_law	education_muni_2010	c6r	num_years	Loggdp_2012	Logpopsize	yearscollective	protest_fem
1.0	2.0	0.0	1	0.0	1.0	0.0	1.0	2.0	3.0	56.503304	5.9	1	5.0	0.0	4.0	2.0	7.0	3.0	1.0	5.0	3.0	2.0	5.0	0	0.658	3.0	26	10.194699	14.437075	22.0	3
1.0	1.0	0.0	1	0.0	1.0	0.0	1.0	0.0	3.0	56.503304	5.9	1	5.0	0.0	1.0	4.0	9.0	1.0	1.0	4.0	3.0	3.0	5.0	0	0.658	4.0	26	10.194699	14.437075	22.0	3
1.0	3.0		1	0.0	0.0	0.0	3.0	3.0	3.0	56.503304	5.9	1	5.0	0.0	4.0	4.0	8.0	1.0	1.0	4.0	3.0	3.0	5.0	0	0.658	5.0	26	10.194699	14.437075	22.0	3
1.0	2.0	0.0	1	1.0	1.0	0.0	2.0	0.0	3.0	56.503304	5.9	1	3.0	0.0	3.0	2.0	9.0	3.0	1.0	5.0	3.0	1.0	5.0	0	0.658	4.0	26	10.194699	14.437075	22.0	3
1.0	1.0		1	0.0	0.0	0.0	4.0	1.0	3.0	56.503304	5.9	1	5.0	0.0	4.0	3.0	6.0	1.0	1.0	4.0	3.0	2.0	5.0	0	0.658	3.0	26	10.194699	14.437075	22.0	3
1.0	3.0		1	0.0	0.0	0.0	3.0	4.0	3.0	56.503304	5.9	1	5.0	0.0	1.0	2.0	7.0	1.0	1.0	4.0	3.0	2.0	5.0	0	0.658	4.0	26	10.194699	14.437075	22.0	3
1.0	2.0		1	1.0	0.0	0.0	3.0	1.0	2.0	56.503304	5.9	1	5.0	0.0	4.0	2.0	10.0	3.0	1.0	5.0	2.0	2.0	5.0	0	0.658	5.0	26	10.194699	14.437075	22.0	3
1.0	2.0	0.0	1	0.0	1.0	0.0	2.0	2.0	4.0	56.503304	5.9	1	3.0	0.0	3.0	1.0	0.0	3.0	2.0	5.0	2.0	1.0	4.0	0	0.658	4.0	26	10.194699	14.437075	22.0	3
1.0	3.0		1	0.0	0.0	1.0	3.0	4.0	4.0	56.503304	5.9	1	5.0	0.0	3.0	3.0	9.0	2.0	2.0	4.0	1.0	2.0	5.0	0	0.658	4.0	26	10.194699	14.437075	22.0	3
1.0	1.0	1.0	1	0.0	1.0	1.0	1.0	1.0	4.0	56.503304	5.9	1	3.0	0.0	3.0	3.0	10.0	3.0	2.0	4.0	1.0	2.0	5.0	0	0.658	2.0	26	10.194699	14.437075	22.0	3
1.0	1.0	0.0	1	0.0	1.0	1.0	1.0	0.0	4.0	56.503304	5.9	1	4.0	1.0	3.0	4.0	10.0	3.0	2.0	4.0	1.0	2.0	5.0	0	0.658	4.0	26	10.194699	14.437075	22.0	3
1.0	3.0		1	1.0	0.0	0.0	3.0	3.0	5.0	56.503304	5.9	1	2.0	1.0	4.0	4.0	8.0	1.0	2.0	4.0	1.0	4.0	5.0	0	0.658	4.0	26	10.194699	14.437075	22.0	3
1.0	2.0		1	1.0	0.0	0.0	1.0	1.0	4.0	56.503304	5.9	1	5.0	0.0	5.0	4.0	6.0	3.0	1.0	5.0	1.0	2.0	5.0	0	0.658	4.0	26	10.194699	14.437075	22.0	3
2.0	2.0		1	0.0	0.0	1.0	2.0	1.0	4.0	45.588932	6.6	1	4.0	0.0	3.0	3.0	8.0	1.0	2.0	3.0	2.0	2.0	5.0	0	0.673	3.0	26	8.705903	14.159405	0.0	2
2.0	1.0	0.0	1	0.0	1.0	0.0	4.0	1.0	4.0	45.588932	6.6	1	4.0	1.0	3.0	3.0	8.0	1.0	2.0	4.0	2.0	2.0	2.0	0	0.673	3.0	26	8.705903	14.159405	0.0	2
2.0	1.0	1.0	1	1.0	1.0	1.0	2.0	1.0	4.0	45.588932	6.6	1	5.0	0.0	3.0	3.0	8.0	3.0	2.0	3.0	2.0	2.0	5.0	0	0.673	3.0	26	8.705903	14.159405	0.0	2
2.0	3.0		1	1.0	0.0	0.0	3.0	2.0	4.0	45.588932	6.6	1	3.0	1.0	4.0	4.0	9.0	1.0	2.0	4.0	2.0	3.0	4.0	0	0.673	3.0	26	8.705903	14.159405	0.0	2
2.0	3.0		1	1.0	0.0	0.0	3.0	3.0	4.0	45.588932	6.6	1	4.0	1.0	4.0	4.0	9.0		2.0	3.0	2.0	4.0	5.0	0	0.673	2.0	26	8.705903	14.159405	0.0	2
2.0	2.0	1.0	1	1.0	1.0	0.0	1.0	0.0	4.0	45.588932	6.6	1	4.0	0.0	4.0	4.0	10.0	1.0	2.0	3.0	2.0	3.0	4.0	0	0.673	3.0	26	8.705903	14.159405	0.0	2
2.0	2.0		1	0.0	0.0	1.0	3.0	2.0	3.0	45.588932	6.6	1	4.0	1.0	4.0	4.0	9.0	3.0	2.0	4.0	3.0	3.0	4.0	0	0.673	3.0	26	8.705903	14.159405	0.0	2
2.0	1.0		1	1.0	0.0	0.0	2.0	0.0	3.0	45.588932	6.6	1	4.0	0.0	4.0	4.0	9.0	1.0	2.0	4.0	3.0	3.0	4.0	0	0.673	2.0	26	8.705903	14.159405	0.0	2
2.0	1.0		1	1.0	0.0	0.0	2.0	0.0	3.0	45.588932	6.6	1	4.0	0.0	4.0	4.0	10.0	1.0	2.0	3.0	3.0	3.0	4.0	0	0.673	3.0	26	8.705903	14.159405	0.0	2
2.0	2.0		1	1.0	0.0	0.0	2.0	0.0	3.0	45.588932	6.6	1	4.0	0.0	3.0	4.0	9.0	1.0	1.0	3.0	3.0	3.0	4.0	0	0.673	2.0	26	8.705903	14.159405	0.0	2
2.0	1.0	0.0	1	0.0	1.0	0.0	4.0	2.0	3.0	45.588932	6.6	1	3.0	0.0	4.0	4.0	9.0	1.0	2.0	4.0	3.0	3.0	4.0	0	0.673	3.0	26	8.705903	14.159405	0.0	2
2.0	1.0	0.0	1	1.0	1.0	0.0	2.0	0.0	3.0	45.588932	6.6	1	4.0	1.0	4.0	4.0	10.0	2.0	2.0	4.0	3.0	3.0	3.0	0	0.673	3.0	26	8.705903	14.159405	0.0	2
2.0	2.0	0.0	1	1.0	1.0	1.0	3.0	1.0	3.0	45.588932	6.6	1	4.0	1.0	4.0	3.0	10.0	1.0	1.0	3.0	3.0	4.0	4.0	0	0.673	3.0	26	8.705903	14.159405	0.0	2
2.0	3.0	0.0	1		1.0	0.0	3.0	6.0	4.0	45.588932	6.6	1	5.0	0.0	1.0	3.0	6.0	3.0	2.0	3.0	1.0	2.0	5.0	0	0.673	2.0	26	8.705903	14.159405	0.0	2
2.0	1.0	0.0	1	1.0	1.0	0.0	2.0	0.0	4.0	45.588932	6.6	1	1.0	0.0	5.0	4.0	10.0	3.0	2.0	4.0	1.0	4.0	5.0	0	0.673	2.0	26	8.705903	14.159405	0.0	2
2.0	1.0		1	1.0	0.0	1.0	2.0	0.0	3.0	45.588932	6.6	1	3.0	0.0	4.0	3.0	9.0	2.0	2.0	4.0	1.0	3.0	5.0	0	0.673	4.0	26	8.705903	14.159405	0.0	2
2.0	2.0	0.0	1	1.0	1.0	0.0	1.0	4.0	4.0	45.588932	6.6	1	1.0	0.0	5.0	1.0	10.0	3.0	2.0	5.0	1.0	2.0	5.0	0	0.673	2.0	26	8.705903	14.159405	0.0	2
2.0	1.0		1	1.0	0.0	1.0	2.0	1.0	3.0	45.588932	6.6	1	2.0	0.0	5.0	1.0	9.0	3.0	2.0	4.0	1.0	3.0	5.0	0	0.673	4.0	26	8.705903	14.159405	0.0	2
2.0	2.0		1	0.0	0.0	1.0	3.0	0.0	3.0	45.588932	6.6	1	4.0	0.0	1.0	3.0	9.0	1.0	2.0	3.0	1.0	3.0	5.0	0	0.673	4.0	26	8.705903	14.159405	0.0	2
2.0	1.0	0.0	1	1.0	1.0	1.0	4.0	2.0	4.0	45.588932	6.6	1	5.0	0.0	1.0	4.0	9.0	2.0	2.0	2.0	1.0	3.0	5.0	0	0.673	4.0	26	8.705903	14.159405	0.0	2
3.0	1.0		1	0.0	0.0	0.0	2.0	0.0	5.0	33.012394	6.3	1	5.0	1.0	1.0	4.0	5.0	3.0	2.0	5.0	1.0	2.0	5.0	0	0.661	2.0	27	9.560998	12.760975	0.0	0
3.0	1.0	0.0	1	0.0	1.0	0.0	2.0	1.0	5.0	33.012394	6.3	1	5.0	0.0	1.0	5.0	8.0	2.0	2.0	5.0	1.0	2.0	5.0	0	0.661	2.0	27	9.560998	12.760975	0.0	0
3.0	1.0		1	0.0	0.0	0.0	2.0	0.0	5.0	33.012394	6.3	1	5.0	1.0	1.0	4.0	9.0	1.0	2.0	4.0	1.0	2.0	5.0	0	0.661	3.0	27	9.560998	12.760975	0.0	0
3.0	2.0	0.0	1	0.0	1.0	0.0	2.0	1.0	5.0	33.012394	6.3	1	5.0	1.0	1.0	4.0	5.0	1.0	2.0	4.0	1.0	1.0	5.0	0	0.661	2.0	27	9.560998	12.760975	0.0	0
